,title,url
177,First News Quiz - 11 October 2021,https://create.kahoot.it/details/6e472228-6177-45ce-a3cd-0432187f5e57
178,First News Quiz – 4th October 2021,https://create.kahoot.it/details/a1b084ab-5016-4467-97d0-7ca7e1c321b0
179,First News Quiz - 27 September 2021,https://create.kahoot.it/details/cd460ced-32a5-4ebb-b329-14d87219898d
180,First News Quiz - 20 September 2021,https://create.kahoot.it/details/639f2db0-8af9-4197-b970-896def2997b4
181,First News Quiz - 13 September 2021,https://create.kahoot.it/details/694c179b-466d-42c8-b3e1-031ec0f83ac9
182,First News Quiz – 6 September 2021,https://create.kahoot.it/details/f50c1221-93a9-4330-896d-4d1587320715
183,First News Quiz – 30 Aug 2021,https://create.kahoot.it/details/21eeb1e5-22c4-4ddd-b439-e4cf999cdd89
184,First News Quiz – 23 August 2021,https://create.kahoot.it/details/4577790e-1156-40a9-8ac1-371a73959053
185,First News Quiz – 16 August 2021,https://create.kahoot.it/details/40601cd7-e878-4809-977d-420a8f292de3
186,First News Quiz – 2 August 2021,https://create.kahoot.it/details/eaecc7ce-cf21-4775-877b-6a481de48d8d
187,First News Quiz – 26 July 2021,https://create.kahoot.it/details/5944b61d-b1af-414e-a4b9-de3400a15be4
188,First News Quiz – 19 July 2021,https://create.kahoot.it/details/b8a8fada-3c3c-492a-a4d0-718faed3a3c9
189,First News Quiz – 12 July 2021,https://create.kahoot.it/details/24fd3003-c46e-40d8-ae3d-d9f79d246260
190,First News Quiz (2 – 8 July 2021),https://create.kahoot.it/details/b23aa580-559d-4f6d-8ba8-37f1a06d7f48
191,FinCap Friday: Crypto Going Global?,https://create.kahoot.it/details/247ea65c-c2d9-4a82-bd6d-2113c416457f
192,FinCap Friday: The Great Resignation,https://create.kahoot.it/details/8d9c772b-c4d0-4c02-a92a-6ae74b6371c2
193,FinCap Friday: Financial FOMO,https://create.kahoot.it/details/39ffde35-7aca-4c33-9832-6a6af4b79e54
194,Budgeting,https://create.kahoot.it/details/e682f3b1-e94e-47cf-8ee6-31505eb3b3d0
195,Entrepreneurship,https://create.kahoot.it/details/89da9163-d865-429d-a89a-b8ac9dd5a844
